RUN_TIME,TIME_INTERVAL,RESOURCE_NAME,REGION_NAME,RESOURCE_TYPE,FUEL_TYPE,ZONE_ID,PARTICIPANT_ID,MW,LMP,LOSS_FACTOR,LMP_SMP,LMP_LOSS,LMP_CONGESTION
2020-10-05 06:00,2020-10-05 06:05,00ACCT_01,CLUZ,G,,,,0,0,1.0060909986496,0,0,0
2020-10-05 06:00,2020-10-05 06:05,00BATT_01,CLUZ,G,,,,0,0,1.0060909986496,0,0,0
2020-10-05 06:00,2020-10-05 06:05,00BATT_02,CLUZ,G,,,,0,0,1.0060909986496,0,0,0
2020-10-05 06:00,2020-10-05 06:05,00COAL_01,CLUZ,G,,,,0,0,1.0060909986496,0,0,0
2020-10-05 06:00,2020-10-05 06:05,00COAL_02,CLUZ,G,,,,0,0,1.0060909986496,0,0,0
2020-10-05 06:00,2020-10-05 06:05,00DCCT_GT,CLUZ,G,,,,0,0,1.0060909986496,0,0,0
2020-10-05 06:00,2020-10-05 06:05,00DCCT_ST,CLUZ,G,,,,0,0,1.0060909986496,0,0,0
2020-10-05 06:00,2020-10-05 06:05,00DIESEL_01,CLUZ,G,,,,0,0,1.0060909986496,0,0,0
2020-10-05 06:00,2020-10-05 06:05,00DIESEL_02,CLUZ,G,,,,0,0,1.0060909986496,0,0,0
2020-10-05 06:00,2020-10-05 06:05,00HYDRO_01,CLUZ,G,,,,0,0,1.0060909986496,0,0,0
2020-10-05 06:00,2020-10-05 06:05,00HYDRO_02,CLUZ,G,,,,0,0,1.0060909986496,0,0,0
2020-10-05 06:00,2020-10-05 06:05,00LOAD_01,CLUZ,NL,,,,0,0,1.0060909986496,0,0,0
2020-10-05 06:00,2020-10-05 06:05,00PUMP_01,CLUZ,PS,,,,0,0,1.0060909986496,0,0,0
2020-10-05 06:00,2020-10-05 06:05,00PUMP_02,CLUZ,PS,,,,0,0,1.0060909986496,0,0,0
2020-10-05 06:00,2020-10-05 06:05,00ROR_01,CLUZ,G,,,,0,0,1.0060909986496,0,0,0
2020-10-05 06:00,2020-10-05 06:05,00ROR_02,CLUZ,G,,,,0,0,1.0060909986496,0,0,0
2020-10-05 06:00,2020-10-05 06:05,00SOLAR_01,CLUZ,G,,,,0,0,1.0060909986496,0,0,0
2020-10-05 06:00,2020-10-05 06:05,00WIND_01,CLUZ,G,,,,0,0,1.0060909986496,0,0,0
2020-10-05 06:00,2020-10-05 06:05,01ACNPC_G01,CLUZ,G,BIOMASS,NLUZON,ACNPC,0,0,0.988670527935028,0,0,0
2020-10-05 06:00,2020-10-05 06:05,01AEC_L01,CLUZ,NL,NONE,NLUZON,.WESM,-34.3806,0,0.99024897813797,0,0,0
2020-10-05 06:00,2020-10-05 06:05,01AMBUK_SS,CLUZ,NL,NONE,NLUZON,.WESM,0,0,0.990413010120392,0,0,0
2020-10-05 06:00,2020-10-05 06:05,01AMBUK_T1L1,CLUZ,NL,NONE,NLUZON,.WESM,0,0,0.990413010120392,0,0,0
